Name,AmountSubunits,CCNumber,CVV,ExpMonth,ExpYear
Ms. Caramella P Maggot,741803,4539431822773122,495,1,2023
Mr. Ranugad A Brownlock,3461739,4929125600000637,695,8,2023
Ms. Esmeralda J Fairbairn,861883,5537473231199449,117,3,2019
Mr. Gorbadoc P Gamgee,4138907,4539417375543095,747,9,2020
Mr. Will P Sandyman,3758932,4916203394778596,934,11,2023
Dr. Amaranth F Tunnelly,3487780,4716662994551954,971,3,2019
Ms. Prima M Bolger,483115,4716170416140117,431,3,2021
Mrs. Grimalda M Brownlock,3842716,4485804535020409,114,5,2023
Ms. Tanta A Brown,150020,4539417273622843,136,3,2020
Ms. Pansy A Fairbairn,4723071,5190875153146653,454,11,2020
Ms. Pimpernel H Rumble,1234652,5459911563325821,539,2,2019
Mr. Hildigard A Goodchild,381907,5546976559314555,690,12,2019
Mr. Halfred A Brandybuck,872719,5539447410763991,203,11,2019
Mr. Goodwill N Smallburrow,2759062,4485582395581278,414,12,2021
Dr. Robin P Sackville-Baggins,763110,4929694277944393,500,8,2021
Dr. Mantissa F Galbassi,3061397,4929824318110957,533,12,2022
Ms. Prima G Burrowes,4913105,5132420683881528,315,2,2020
Mr. Folco M Noakes,1669721,4532771750187804,323,12,2019
Mr. Peregrin L Brandybuck,4685917,4532228025793726,436,3,2020
Ms. Daisy B Hogpen,4864712,4716594780404744,711,10,2021
Mrs. Poppy B Labingi,364449,4916805965638312,126,2,2022
Mr. Merimas E Proudfoot,4089579,4539142465222190,718,5,2022
Ms. Salvia T Button,4256333,5163813975207851,911,8,2021
Ms. Rowan M Goodchild,4979825,4556569053113290,491,7,2020
Mrs. Diamanda M Hayward,4412746,4929317077599551,341,9,2022
Mrs. Tanta P Maggot,1443734,5336932944768884,402,4,2022
Ms. Savanna G Gardner,1871718,5288934851062739,923,10,2020
Mr. Cedivar R Zaragamba,3477901,4929064023110568,252,9,2020
Mr. Bercilac B Chubb,4165704,5370436514120499,436,4,2019
Mr. Marroc P Smallburrow,2187610,4556717890007411,436,8,2020
Mrs. Mimosa R Tûk,5075024,4532072829430014,306,9,2023
Mr. Mungo D Proudfoot,724717,4485184070256290,589,8,2020
Mr. Caradas L Took-Took,4902269,5202110809168174,494,6,2021
Mr. Lotho D Took,2829479,4485731479835544,430,12,2020
Mr. Marcho N Tûk,2386269,4916338193761037,435,8,2020
Mr. Timba S Hornblower,3431750,5306131475856640,441,8,2019
Mrs. Melilot B Gawkroger,3219657,4929598313981287,715,3,2020
Mr. Sancho A Lothran,4995923,5296359176890616,622,1,2020
Mr. Meriadoc B Took-Took,1742512,5240007246500312,205,2,2020
Mrs. Dora A Brown,2213702,5308297490379336,961,10,2022
Ms. Cara C Galbassi,1434655,4539715192261159,302,12,2019
Mrs. Gerda C Lightfoot,3007257,5572411395722180,709,9,2023
Mrs. Matilda T Maggot,3931643,4716513486363921,552,2,2022
Mr. Sago S Bolger,1897301,5583889621944263,299,1,2022
Ms. Laura P Bunce,4919019,4556795064711711,969,6,2019
Ms. Daisy C Took,3333018,5253684363338645,463,3,2019
Mr. Fastolph G Brandybuck,598694,5336889266100205,336,5,2019
Mr. Bladud L Labingi,3240041,5416998554192932,704,4,2022
Mr. Sigismond P Diggle,3962788,4485550162451983,574,6,2021
Mr. Meneaduc P Greenhand,2019021,5346662520754036,835,3,2021
Ms. Diamanda O Gamgee,3162911,5482668838250132,655,3,2019
Mr. Paladin M Smallburrow,1558280,4916153081726798,991,11,2021
Ms. Cara G Mugwort,3524343,5182307162782096,914,3,2019
Ms. Elanor G Lothran,2108055,4532553751136851,515,9,2020
Ms. Pearl F Galbassi,4792041,5122737731518410,614,11,2023
Mr. Vigo L Goldworthy,2912453,5470560974829791,085,12,2019
Mr. Crassus G Hayward,118631,4929843226540378,519,1,2022
Mr. Alaric C Goldworthy,2958217,5546412079633647,497,5,2019
Mrs. Dora H Burrows,2543631,4532656657828578,326,7,2020
Ms. Grimalda M Chubb,2238218,5430976941624736,371,8,2022
Ms. Fatima M Bolger,2646632,4556734039136100,494,11,2022
Mrs. Mimosa G Goldworthy,2417514,5422214209889738,783,6,2023
Mr. Dudo B Roper,174904,5327259633773202,070,3,2020
Ms. Grimalda C Banks,4779180,5159589620429167,493,8,2021
Mrs. Maxima S Underhill,4588500,4532087511949725,560,12,2020
Ms. Pandora C Brandybuck,3550071,5342442518098199,523,8,2020
Mr. Cotman C Baggins,4903385,4556501379386953,183,9,2019
Mr. Olo C Goldworthy,4156823,4929978689275615,139,10,2023
Mr. Carambo A Burrows,2802441,5364105150235485,665,11,2019
Mr. Meriadoc B Oldbuck,1878805,5224125206487880,594,11,2020
Mrs. Savanna H Zaragamba,4669258,4556328615345787,689,12,2023
Mr. Banazir E Grubb,1204765,5359693855001630,328,4,2019
Dr. Ponto P Hayward,3595868,4916849869861877,689,11,2019
Ms. Daisy T Brandagamba,4863083,4929642723562913,013,11,2020
Dr. Nora  T Hayward,1263850,4532670066556308,788,11,2022
Ms. Angelica B Clayhanger,1821379,5176179919164664,062,12,2023
Mr. Bladud F Goold,4066812,5439740679667213,039,6,2020
Mr. Priamus R Galbassi,4150113,5349642286592413,249,11,2022
Ms. Rosa G Labingi,3540571,4556568593613595,405,6,2022
Mr. Merry R Tunnelly,3831422,5159751668511484,679,7,2022
Mrs. Poppy G Smallburrow,1954123,5138277324726890,944,9,2020
Mr. Conrad L Smallburrow,1828189,4532276476640771,477,4,2021
Ms. Bellisima B Brandybuck,499364,5454536251819069,095,3,2022
Ms. Pearl T Sandyman,4400587,5156754444529229,292,2,2020
Mr. Doderic R Headstrong,3646637,5402845325655406,457,4,2022
Mr. Iolo L Gamgee,4330399,5124441358340475,191,5,2021
Mr. Brutus H Gardner,1150629,5219288278321697,599,5,2022
Mrs. Primrose S Burrows,2608244,4556003657690685,601,10,2020
Ms. Rose B Goldworthy,2288752,5511284292980969,371,8,2021
Mrs. Rowan H Bolger-Baggins,3622529,5242562458988835,071,10,2022
Mr. Melampus P Sandheaver,4222822,5125685412677723,186,9,2019
Mrs. Duenna E Hornblower,3647599,4539128167466565,933,7,2023
Mr. Fortinbras P Goldworthy,766788,5196793306550941,012,7,2020
Ms. Ruby E Roper,837514,5550870612739705,113,4,2020
Mr. Gringamor A Gaukrogers,695706,4485203980617167,470,1,2023
Ms. Melissa R Longhole,1223796,4716581249858941,297,10,2021
Ms. Arabella M Goldworthy,1356611,4929085430348376,568,7,2023
Mr. Adelbert B Puddifoot,4246943,5338227075544040,521,9,2023
Mrs. Malva C Goodbody,4153511,5461659450825215,532,6,2020
Mrs. Savanna B Rumble,2571788,5232163747602915,336,1,2023
Mr. Holman R Maggot,2651529,5318358883336479,363,8,2021
Mr. Fosco P Boffin,2418900,5377234987007068,529,6,2020
Dr. Esmeralda T Brandagamba,4132438,4929977494250623,861,10,2020
Mr. Frodo J Gardner,493808,5439575753709808,373,4,2021
Mr. Andwise M Maggot,3944559,4539458904895796,355,11,2022
Mrs. Bell B Maggot,3645335,5225459736047180,541,1,2020
Mr. Goodwill B Smallburrow,939158,4916076578244514,818,6,2022
Ms. Pamphila M Hogpen,2073902,4556693996015121,101,7,2019
Mr. Marmadoc R Mugwort,1708039,4916672307788365,998,5,2020
Mr. Rudolph B Underhill,4557147,4485098358465276,640,9,2022
Mrs. Fatima S Maggot,4978397,4539073454943050,334,6,2023
Ms. Belladonna M Sackville,4843529,4485642653172671,269,4,2022
Mr. Prospero L Goodbody,4393176,4556118525576757,850,9,2023
Mrs. Mantissa A Twofoot,521338,5598621962866158,509,9,2021
Ms. Semolina A Gawkroger,3931530,4556820704113027,853,2,2021
Mr. Bilcuzal P Chubb,678075,5307121001960965,760,12,2021
Dr. Dora S Whitfoot,1670741,5231737346815084,724,6,2023
Mrs. Adaldrida H Noakes,2108449,5181164987371774,560,8,2019
Mr. Nahand J Sackville-Baggins,1476951,5570195442984370,437,8,2019
Mr. Belisarius S Headstrong,2600304,5342872029644992,799,3,2019
Mrs. Pamphila R Headstrong,3595221,4485319569613102,876,10,2023
Mrs. Donnamira G Chubb,2372574,4556957914696464,822,12,2023
Mr. Wilibald P Gaukrogers,109439,4485106542857058,529,12,2021
Mrs. Primula H Fairbairn,3012500,5257478077747381,967,2,2020
Ms. Marigold F Gardner,3131412,4916238155821052,034,12,2023
Ms. Lalia M Clayhanger,4308989,5472511262215084,532,12,2022
Mr. Grossman A Button,784666,5376025392042943,075,7,2022
Mrs. Nina C Baggins,3976436,5594745226142124,560,10,2022
Mr. Uffo P Tûk,926867,5325736624819328,683,12,2020
Mr. Bilbo P Longhole,3760701,5213257144812813,819,7,2023
Mr. Hamfast C Baggins,4479793,4916417294997904,121,7,2019
Dr. Herugar C Sandyman,3208884,4916353708704018,793,6,2023
Mrs. Asphodel A Noakes,3184759,5408813840972080,659,12,2022
Ms. Hilda R Whitfoot,2270679,5135010416283055,826,1,2019
Mr. Polo D Sackville-Baggins,2510736,4485761914200046,047,3,2021
Mr. Togo C Chubb-Baggins,1649375,4929796945797986,368,9,2022
Mr. Dodinas A Gammidge,3567687,4916731150082340,889,12,2023
Mr. Caradas E Labingi,3027497,4916832584325865,850,11,2023
Ms. Pansy I Rumble,1588044,4929111356229299,489,2,2022
Mr. Otho P Galbassi,1078365,4916882085910293,557,7,2021
Mr. Hending D Hornblower,2445915,4539297185826512,618,4,2019
Ms. Caramella B Rumble,2493410,4532871352210135,525,12,2020
Mr. Jo B Noakes,4379244,4716573062080935,576,5,2019
Mr. Ranugad L Clayhanger,1984247,5597483459662090,201,11,2020
Mr. Hending S Galbassi,272840,5569369375090595,273,10,2019
Mr. Faramir H Took-Brandybuck,234428,4556765728507185,674,8,2019
Mr. Odovacar P Bracegirdle,3951786,4929818822012998,581,3,2023
Mrs. Jemima L Bracegirdle,2497236,4916369469684116,416,2,2023
Ms. Dina H Oldbuck,1984807,5417650787548633,512,3,2021
Mr. Herugar P Hogpen,2190989,5345222345184983,316,4,2023
Mrs. Amaranth P Gammidge,2842700,5133933738884510,964,9,2023
Mr. Flavus R Goold,4473218,4485437752209650,866,3,2023
Ms. Elanor O Zaragamba,1570758,5185504784091578,479,2,2020
Ms. Prima T Sandyman,2814912,5144578226270198,296,10,2021
Mr. Isembold R Headstrong,3442897,5448710080691218,044,6,2019
Mr. Nahand G Tûk,3741749,5368705989668974,911,6,2022
Ms. May M Diggle,4865656,5397151815372058,965,10,2022
Ms. Berylla S Zaragamba,2229650,5125682164660767,829,5,2021
Mrs. Pimpernel G Burrowes,953140,5201463424399570,584,1,2019
Mr. Gundahar C Puddifoot,1749150,5377268867613579,046,7,2019
Mrs. Robinia M Sackville,1576182,4929908373901119,561,10,2019
Mr. Sigismond B Diggle,1715080,4485965962927810,169,1,2021
Mr. Mungo R Brandagamba,2723213,5165692684320504,511,1,2019
Mr. Pippin P Sackville,1394450,4539629700293481,174,10,2022
Ms. Pamphila N Burrowes,4896056,5417343052840394,563,2,2023
Mr. Gringamor P Goldworthy,2516240,4929212864689469,143,12,2020
Mr. Elfstan C Rumble,2050035,5280652609128895,108,5,2023
Mr. Samlad Y Brown,3331514,4485401080879964,632,2,2019
Mr. Ansegar P Rumble,3865929,4539221829059983,293,1,2020
Mr. Blanco A Brandybuck,2065609,4539816242698836,709,9,2022
Dr. Falco A Hayward,1676466,5438656169883840,421,6,2019
Mr. Crispus N Longhole,2668400,4485406460760148,933,7,2021
Mr. Mat G Brandybuck,3267665,5448412565912421,370,10,2020
Mr. Dudo B Twofoot,3130433,5410871888197081,672,9,2021
Mr. Erling A Noakes,3175395,5231838423108920,773,8,2022
Mr. Crassus C Chubb,2046713,5382858579331255,483,12,2019
Mr. Brutus C Hogpen,147840,5310998663481553,198,6,2022
Mrs. Pamphila C Tunnelly,2103905,4485759857465246,388,12,2023
Ms. Salvia A Greenhand,422752,4556902278991671,817,8,2022
Ms. Dora I Brandagamba,4369217,4716509924010165,540,11,2023
Mrs. Jemima G Sackville,4413135,4716432660291313,910,2,2020
Mr. Mat B Baggins,3713320,4532096487615772,958,9,2022
Mr. Marroc B Maggot,4810666,4929977129960281,270,5,2021
Mr. Bungo R Gaukrogers,1878751,4556306353560692,567,4,2019
Mrs. Pervinca C Took,3067116,4485757012224573,824,8,2019
Mr. Hamilcar C Goodchild,2360190,5250412505915549,452,3,2023
Mr. Fastred A Gaukrogers,975452,5300298771173024,284,4,2019
Mr. Olo M Labingi,2023411,4716667830886720,200,1,2021
Mr. Marcho C Took,3860367,4485298970042046,129,3,2020
Dr. Amaranth E Zaragamba,2148418,4485746604584502,693,10,2022
Mrs. Rosamunda G Underhill,3392143,4929388862143459,772,6,2020
Ms. Primula I Twofoot,293442,4485201308245596,508,4,2021
Mrs. Melilot S Sandyman,2537724,5586713925271131,962,5,2021
Ms. Lavinia M Puddifoot,1260967,4556170955272142,789,5,2023
Ms. Pansy G Gawkroger,4454276,5182409317019059,074,10,2019
Ms. Mirabella I Sackville,4900709,5340560298824104,097,3,2023
Mr. Gorhendad R Burrowes,4682010,4716098662705681,142,12,2020
Mr. Tolman P Sackville,5009786,4716081986337936,911,3,2020
Ms. Belinda B Grubb,185700,5355888068511375,198,4,2021
Ms. Savanna B Tûk,391576,5249587657628315,022,10,2020
Mr. Basso P Goold,4750895,4556376816181014,378,11,2023
Ms. Mentha F Tûk,5056428,4929404529888988,947,7,2023
Ms. Maxima S Galbassi,1966059,5521470130021482,042,11,2020
Mr. Marco R Brown,4168315,4485441556522961,110,8,2022
Mr. Gundabald B Zaragamba,4250299,4916396675717794,112,8,2022
Mr. Caradas B Gaukrogers,393954,5154488250954260,152,5,2023
Mr. Isembard B Tûk,637874,5537096079118997,133,1,2019
Mrs. Lalia A Gamgee,2701358,5540611852204262,014,11,2020
Mr. Milo M Smallburrow,4658205,4539222884133192,397,1,2021
Mr. Bildat D Roper,3289240,4716033341115846,411,5,2022
Mr. Chilimanzar C Greenhand,2878270,4539420041625833,048,1,2019
Mr. Arnor P Diggle,265052,4916311864039629,997,4,2021
Mrs. Amanda C Baggins,3914789,5493582323691386,963,3,2022
Mr. Lotho M Goold,735659,4532093650969607,445,7,2019
Mr. Crispus C Burrows,4257480,5196943837228919,734,9,2019
Mrs. Adaldrida C Gamgee,4296514,4916929659636091,925,1,2019
Mr. Holman P Hayward,3182595,5170090410247880,493,9,2022
Mr. Saradas J Sandheaver,297605,4485116377266838,095,1,2019
Mrs. Pearl H Chubb-Baggins,4029262,4916502643574817,040,8,2019
Mr. Bandobras B Hayward,3909866,4716738235977040,334,10,2022
Mr. Rollo B Lothran,1277687,4929674052570753,880,9,2019
Mr. Falco C Gaukrogers,3732933,4539176137038246,835,3,2019
Mr. Haiduc G Greenhand,3942890,4716369472945555,100,3,2021
Mr. Tóbias G Bunce,2651237,4485099322974997,104,11,2022
Mr. Bosco C Bunce,3168528,5312114417062974,316,12,2019
Mrs. Alfrida G Banks,4639462,5550877959129812,583,7,2019
Mr. Marmadoc D Whitfoot,3997323,4916804739102580,868,9,2022
Mrs. Estella R Twofoot,586864,4532505758567868,776,5,2021
Mrs. Dina F Gawkroger,581923,4916787816257320,014,2,2019
Mr. Chilimanzar R Took-Brandybuck,2543447,5270295067335933,827,11,2020
Mr. Gundolpho A Sackville-Baggins,741777,5365981750933490,890,12,2021
Mr. Jago R Banks,4179311,5548508466654100,767,11,2023
Ms. Marigold G Button,4714879,4916946448901354,430,5,2023
Mr. Fortinbras D Roper,4585412,4532986975859108,454,1,2023
Mr. Tobold P Bolger-Baggins,4084865,5347516857267278,961,9,2023
Ms. Cornelia C Tunnelly,4086641,5269962384587909,843,9,2019
Mr. Matta C Rumble,5037549,4716009540311790,089,12,2020
Mr. Crispus A Tunnelly,2413728,5225199772489231,715,9,2022
Mr. Gundabald P Longhole,3135473,5101360078162661,960,9,2022
Mrs. Marigold S Took-Brandybuck,1612656,4716971537560384,691,5,2021
Mr. Merimac A Brandybuck,2872862,4716596398206395,476,5,2022
Ms. Malva M Bolger-Baggins,3293667,4539772459701229,783,10,2019
Mrs. Miranda F Goldworthy,187444,5101766469439221,552,2,2022
Mr. Alaric A Lightfoot,2319757,4532094223069016,026,11,2019
Ms. Primrose F Noakes,2898727,4539975730961609,695,11,2020
Ms. Pamphila P Banks,969037,5178487925037651,385,11,2021
Ms. Matilda F Burrowes,2922068,4716472958657114,039,4,2021
Ms. Robinia I Galbassi,1692444,4539237936626647,358,2,2020
Mr. Rudibert P Bunce,980703,4556912516163611,869,3,2020
Ms. Asphodel I Gaukrogers,3945389,4556447045681601,070,5,2022
Ms. Pearl S Zaragamba,3815557,5161641240036173,880,9,2023
Mr. Isengar M Sandyman,3216009,4485252411521415,267,5,2020
Mr. Bilbo M Took,2511951,4532045443699685,376,3,2020
Ms. Pamphila C Goodchild,4710199,4716774645059137,879,12,2019
Mrs. Bertha A Goldworthy,2846098,4716619862271438,028,2,2020
Mr. Gringamor M Gammidge,4989229,5399778933110321,374,12,2020
Mr. Toby B Bolger,108201,5334888180530564,069,11,2022
Ms. Daisy T Took,4641625,5193874750927000,449,10,2020
Mrs. Poppy G Burrowes,2196403,5364081594249202,614,9,2022
Mr. Olo P Gardner,2227493,4539316166215097,737,5,2021
Mr. Roderic H Hayward,5060538,5404340586325699,411,5,2023
Mrs. Miranda B Headstrong,4765824,4539831695182121,779,12,2019
Mr. Hal M Boffin,419993,4485854287412346,744,1,2019
Mr. Largo M Brandybuck,2812661,4532702474227360,867,8,2022
Mr. Cosimo R Lightfoot,1942612,5141543541931760,202,12,2020
Mr. Jago B Brandybuck,3331531,4556152400580105,832,10,2019
Ms. Eglantine N Bolger-Baggins,595699,4556693400548741,165,7,2020
Mr. Herugar J Twofoot,2581917,4929679719819220,770,2,2022
Mr. Halfred L Sackville-Baggins,263252,5456845345698167,090,4,2022
Ms. Pimpernel G Twofoot,3470556,4716379682944215,897,9,2023
Mrs. Grimalda H Galbassi,2083631,4716523028562815,394,5,2023
Mr. Bandobras N Banks,1902023,4485668011378445,997,9,2023
Mr. Paladin G Maggot,4722367,5230427166151718,250,4,2019
Mrs. Rosa V Sackville-Baggins,4253834,4916645793621001,513,12,2023
Mr. Merimas H Lightfoot,780467,5522558939842568,664,10,2021
Ms. Diamond O Button,4210966,4916220372371863,245,10,2020
Mr. Isengar S Bunce,1138143,5143696709188892,747,9,2020
Ms. Marigold C Bolger-Baggins,3174776,4532554295557131,098,5,2021
Mr. Rollo P Proudfoot,4019152,5336449138094134,058,10,2023
Mr. Caradas G Maggot,4815274,5378220150112008,177,3,2020
Ms. Lobelia T Mugwort,4897137,4556065509588433,879,4,2020
Mr. Gundobad S Twofoot,764816,5395158370000422,903,9,2022
Ms. Gerda A Button,3566867,5483399197077242,597,4,2022
Ms. Chica  P Brandagamba,2309084,4716348415717651,399,1,2020
Mr. Hending C Lothran,4813552,4556498958320620,395,6,2023
Mr. Madoc C Zaragamba,3720037,4532702025369554,359,7,2022
Mr. Hamilcar J Banks,2594608,4716011154852697,898,6,2022
Mrs. Eglantine T Bunce,1617617,5313384899281496,642,12,2019
Mrs. Salvia B Whitfoot,694128,4929824555087736,123,5,2021
Mr. Bucca D Bracegirdle,1484881,4929124206042903,504,2,2020
Ms. Primrose T Hayward,3076373,4556589010551572,844,5,2021
Ms. Rhoda E Banks,2147278,4539539802324854,896,8,2019
Mr. Bildat M Roper,1435640,5582162340614067,018,1,2021
Mr. Gruffo D Grubb,1408224,5459999445165150,181,1,2019
Mr. Falco S Bracegirdle,5074457,5470790214582161,164,12,2022
Ms. Pearl H Grubb,4149443,4716320004776117,341,9,2023
Ms. Belladonna L Lothran,3393648,5227338283187490,214,5,2019
Mr. Trahand R Chubb,3340646,4556985793368319,848,10,2020
Mr. Cosimo G Banks,3081509,4716184300127098,469,11,2019
Mr. Valdemar A Hogpen,2918100,4716445839754839,711,12,2022
Mrs. May B Puddifoot,4928438,5519230142425061,054,6,2020
Mr. Bingo F Puddifoot,2248014,5139413764114128,013,7,2020
Mr. Gormadoc M Bolger,3678595,5195967230219317,252,2,2021
Mr. Roderic L Rumble,348378,4485199777456787,908,3,2019
Mr. Hildibrand J Gammidge,4393407,5345859250310010,538,3,2019
Mrs. Berylla L Roper,523860,4916848536691527,142,8,2021
Ms. Goldilocks F Hornblower,3345174,4532791098038659,434,9,2021
Mr. Tomburän S Bunce,4607883,5211629184567840,453,11,2023
Mr. Prospero M Brown,2142753,5462200904377963,330,4,2021
Ms. Salvia H Sackville-Baggins,4928549,5568561015600889,484,8,2023
Mrs. Eglantine T Goldworthy,2272750,5230648511863331,825,12,2019
Mr. Halfred P Lightfoot,4410712,5377775439502692,918,11,2019
Dr. Prima L Whitfoot,4559233,5404719878617519,988,12,2021
Mr. Samlad M Gammidge,805305,5144092704063950,569,6,2023
Mr. Iolo S Diggle,164679,4485508869907160,119,5,2023
Ms. Chica  J Sackville,1795364,5315096937402243,559,5,2022
Ms. Rosamunda D Brockhouse,662398,4716261828876255,406,7,2021
Mr. Erling C Oldbuck,4603389,5273667990659299,232,6,2022
Mr. Nicol A Took-Brandybuck,4358496,4532459375257299,700,12,2022
Mr. Kalimac E Grubb,2558739,4485175569516921,540,4,2021
Ms. Rowan C Boffin,1934437,5335830836308788,789,2,2022
Ms. Pamphila S Gammidge,4859687,5481600887913287,770,10,2020
Ms. Bertha P Bunce,1903308,4556842430557194,356,6,2021
Ms. Bertha B Took,531521,4916771850713315,429,1,2021
Mr. Hending A Grubb,2174175,5189875930551871,444,3,2023
Mr. Déagol B Grubb,1757500,5355119071472565,346,12,2020
Ms. Arabella S Roper,3773079,5286840162551355,279,7,2022
Mr. Brutus J Greenhand,3219211,4916224294739587,130,8,2022
Mr. Rollo M Roper,3917478,4539254042914213,187,8,2021
Mrs. Angelica N Lothran,3142276,5287306803618812,246,3,2019
Mrs. May G Gardner,462199,4532292225279647,451,6,2023
Mr. Bilbo C Proudfoot,719232,5224240991742637,345,7,2020
Mr. Briffo R Goold,1243134,4929963111134218,299,4,2021
Mrs. Melissa G Gamgee,4283404,4485426750565965,356,7,2022
Ms. Linda D Goodbody,1942812,5432293695305019,829,4,2022
Mrs. Belinda T Brockhouse,1835890,5441283113862997,498,5,2019
Ms. Rose H Brown,3355040,5237108213032027,610,2,2019
Mr. Ilberic R Took-Took,4356770,5412115995759054,667,8,2020
Mrs. Cara C Headstrong,1462326,5378336569564280,342,3,2023
Ms. Melissa B Sandyman,1647936,5546670758078349,606,1,2022
Ms. Nora  I Button,684446,4929685007324732,960,2,2022
Ms. Robinia T Goold,4137911,4929596470428829,589,5,2021
Dr. Pimpernel H Lothran,249471,5487222809611073,849,10,2020
Mr. Gringamor C Longhole,4981513,4916494398587055,784,8,2021
Mr. Porro J Headstrong,3081173,4485992788038408,272,1,2020
Mr. Cedivar D Goldworthy,2728623,5255245673680288,209,9,2023
Mrs. Rosa H Boffin,287947,4539146290585663,133,4,2022
Ms. Poppy F Button,4807725,5486583357299673,309,5,2020
Ms. Eglantine R Goodbody,1622017,4929157032997783,411,5,2022
Dr. Theobald C Chubb,3205082,4485768301469845,869,2,2020
Mrs. Donnamira P Burrows,3270903,4485653404696835,196,9,2020
Mr. Bucca M Goodbody,1474987,4716491625205198,173,2,2019
Mrs. Melissa H Took-Brandybuck,3754058,5447356563282330,802,2,2020
Mrs. Yolanda B Gawkroger,467015,5263372482870361,912,7,2022
Mr. Töbi A Banks,3457904,4539467895556291,864,3,2019
Mr. Isengar P Lightfoot,1881105,5507178527907563,863,5,2023
Mr. Fosco M Longhole,3332371,5556128704961982,082,1,2022
Mr. Flavus C Boffin,1455027,5166441692146678,795,2,2022
Mrs. Arabella B Brownlock,2876516,5374448608931901,851,5,2021
Dr. Hilda S Oldbuck,161517,5320511988660740,090,5,2020
Mr. Iolo B Gardner,4875031,4532313109766606,967,6,2022
Mrs. Bertha G Tûk,525249,5564718961644998,699,6,2023
Ms. Prisca T Longhole,1021017,4716605214086665,058,3,2022
Ms. Caramella B Goodbody,2626808,5217881238860788,621,9,2020
Ms. Bell F Longhole,4159764,4929570325926550,491,1,2022
Mr. Merimac M Rumble,980284,5313056182289515,349,12,2021
Mr. Sadoc A Tûk,3477471,4485268268989307,048,10,2022
Mrs. Pimpernel C Headstrong,5068438,5109040807173781,052,9,2021
Mrs. Prisca S Maggot,1765729,5276855137344043,332,1,2021
Mr. Lotho B Clayhanger,2274347,4485171747507536,461,8,2022
Mr. Adelbert A Took,709209,4916174486442344,822,5,2021
Mrs. Camelia J Greenhand,537220,5565341848215731,716,8,2023
Mr. Jago R Hornblower,3019136,5220055319677784,145,10,2022
Mr. Ferumbras A Goodbody,1845315,5503518138199585,092,6,2019
Ms. Fatima G Tunnelly,3174921,5405340645823410,953,5,2020
Mr. Bucca A Diggle,1914413,5135271720554991,291,9,2019
Mr. Goodwill M Tûk,4084489,5534917923763923,620,2,2021
Ms. Pandora I Clayhanger,2272929,5447733957048362,716,12,2023
Mr. Isumbras L Brandagamba,1689251,5408792129889902,536,12,2022
Ms. Caramella G Lothran,2880107,5592081661838154,897,1,2020
Mr. Gringamor R Mugwort,4819289,4716015200345945,486,1,2022
Mrs. Adaldrida M Gammidge,4710763,5305089281955421,470,9,2021
Ms. Marigold J Bracegirdle,2906821,4716960005337839,329,5,2023
Ms. Bell C Fairbairn,3444324,5181185363446328,055,2,2023
Ms. Amethyst T Galbassi,1377127,4716349133831139,733,9,2019
Mr. Harding M Galbassi,3115425,4916485276601372,964,2,2020
